title,authors,genre,subjects,avg_rating,ratings_count,year,pages,isbn,source,content,publication_year
Memorial Drive,Natasha Trethewey,True Crime,"nyt:hardcover-nonfiction=2020-08-16; New York Times bestseller; New York Times reviewed; Women poets; Poets, biography; Mothers and daughters",4.0,1.0,2020.0,224.0,9780062248572,OpenLibraryAPI,"Memorial Drive Natasha Trethewey True Crime nyt:hardcover-nonfiction=2020-08-16; New York Times bestseller; New York Times reviewed; Women poets; Poets, biography; Mothers and daughters",
"Painting with Crayons, Pastels and Chalks (The Complete Art Course)",Unknown,Art,Art techniques & materials; Crayon & pastel drawing,4.390244,41.0,1994.0,126.0,9781853913808,OpenLibraryAPI,"Painting with Crayons, Pastels and Chalks (The Complete Art Course) Unknown Art Art techniques & materials; Crayon & pastel drawing",
The Amazing Adventures of Kavalier & Clay,Michael Chabon,Art,American Humorous stories; Arte de escribir; Artists; Artists in fiction; Authorship; Bildungsromans,4.275862,29.0,1957.0,639.0,0007480377,OpenLibraryAPI,The Amazing Adventures of Kavalier & Clay Michael Chabon Art American Humorous stories; Arte de escribir; Artists; Artists in fiction; Authorship; Bildungsromans,
Essential Grammar in Use,"Raymond Murphy, Lelio Pallini, Helen Naylor",Art,"English language; Grammar; Textbooks for foreign speakers; Problems, exercises; Chinese; Vietnamese",4.428571,21.0,1994.0,300.0,0521447054,OpenLibraryAPI,"Essential Grammar in Use Raymond Murphy, Lelio Pallini, Helen Naylor Art English language; Grammar; Textbooks for foreign speakers; Problems, exercises; Chinese; Vietnamese",
The dot,Peter H. Reynolds,Art,Fiction; Schools; Self-confidence; Art; Juvenile fiction; Children's fiction,4.642857,14.0,2003.0,32.0,8365796163,OpenLibraryAPI,The dot Peter H. Reynolds Art Fiction; Schools; Self-confidence; Art; Juvenile fiction; Children's fiction,
Avatar,"Michael Dante DiMartino, Bryan Kanietzko",Art,"Magic; Adventure and adventurers; Fiction; Fantasy; Fantasy comic books, strips; Cartoons and comics",4.6,15.0,2006.0,91.0,9781595328922,OpenLibraryAPI,"Avatar Michael Dante DiMartino, Bryan Kanietzko Art Magic; Adventure and adventurers; Fiction; Fantasy; Fantasy comic books, strips; Cartoons and comics",
The Psychology of Everyday Things,Donald A. Norman,Art,Ergonomie; Industrial Psychology; Industriële vormgeving; Industrial Design; Psychological aspects; Psychology textbooks,4.060606,66.0,1988.0,271.0,1452654123,OpenLibraryAPI,The Psychology of Everyday Things Donald A. Norman Art Ergonomie; Industrial Psychology; Industriële vormgeving; Industrial Design; Psychological aspects; Psychology textbooks,
The Visual Display of Quantitative Information,Edward R. Tufte,Art,"Diagramm; Audio-visual aids; Estatistica Descritiva; Statistics; Tableaux, graphiques; Graphic methods",4.193548,31.0,1983.0,197.0,0961392142,OpenLibraryAPI,"The Visual Display of Quantitative Information Edward R. Tufte Art Diagramm; Audio-visual aids; Estatistica Descritiva; Statistics; Tableaux, graphiques; Graphic methods",
Harry Potter and the Cursed Child,"Jack Thorne, John Tiffany, J. K. Rowling",Art,Drama; Fantasy; Magic; Juvenile Drama; Good and evil; Literature,3.9734514,113.0,2001.0,343.0,1410496201,OpenLibraryAPI,"Harry Potter and the Cursed Child Jack Thorne, John Tiffany, J. K. Rowling Art Drama; Fantasy; Magic; Juvenile Drama; Good and evil; Literature",
Because Internet,Gretchen McCulloch,Art,"linguistics; internet; popular culture; Sociolinguistics; Internet, social aspects; Language and languages",4.4375,16.0,2019.0,336.0,1787302318,OpenLibraryAPI,"Because Internet Gretchen McCulloch Art linguistics; internet; popular culture; Sociolinguistics; Internet, social aspects; Language and languages",
