title,authors,genre,subjects,avg_rating,ratings_count,year,pages,isbn,source,content,publication_year
It's Only the Himalayas,Unknown,Travel,Travel,,,,,,WebScraping,It's Only the Himalayas Unknown Travel Travel,
Full Moon over Noahs Ark: An Odyssey to Mount Ararat and Beyond,Unknown,Travel,Travel,,,,,,WebScraping,Full Moon over Noahs Ark: An Odyssey to Mount Ararat and Beyond Unknown Travel Travel,
See America: A Celebration of Our National Parks & Treasured Sites,Unknown,Travel,Travel,,,,,,WebScraping,See America: A Celebration of Our National Parks & Treasured Sites Unknown Travel Travel,
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Unknown,Travel,Travel,,,,,,WebScraping,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel Unknown Travel Travel,
Under the Tuscan Sun,Unknown,Travel,Travel,,,,,,WebScraping,Under the Tuscan Sun Unknown Travel Travel,
A Summer In Europe,Unknown,Travel,Travel,,,,,,WebScraping,A Summer In Europe Unknown Travel Travel,
The Great Railway Bazaar,Unknown,Travel,Travel,,,,,,WebScraping,The Great Railway Bazaar Unknown Travel Travel,
A Year in Provence (Provence #1),Unknown,Travel,Travel,,,,,,WebScraping,A Year in Provence (Provence #1) Unknown Travel Travel,
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Unknown,Travel,Travel,,,,,,WebScraping,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2) Unknown Travel Travel,
Neither Here nor There: Travels in Europe,Unknown,Travel,Travel,,,,,,WebScraping,Neither Here nor There: Travels in Europe Unknown Travel Travel,
"1,000 Places to See Before You Die",Unknown,Travel,Travel,,,,,,WebScraping,"1,000 Places to See Before You Die Unknown Travel Travel",
Sharp Objects,Unknown,Mystery,Mystery,,,,,,WebScraping,Sharp Objects Unknown Mystery Mystery,
"In a Dark, Dark Wood",Unknown,Mystery,Mystery,,,,,,WebScraping,"In a Dark, Dark Wood Unknown Mystery Mystery",
The Past Never Ends,Unknown,Mystery,Mystery,,,,,,WebScraping,The Past Never Ends Unknown Mystery Mystery,
A Murder in Time,Unknown,Mystery,Mystery,,,,,,WebScraping,A Murder in Time Unknown Mystery Mystery,
The Murder of Roger Ackroyd (Hercule Poirot #4),Unknown,Mystery,Mystery,,,,,,WebScraping,The Murder of Roger Ackroyd (Hercule Poirot #4) Unknown Mystery Mystery,
The Last Mile (Amos Decker #2),Unknown,Mystery,Mystery,,,,,,WebScraping,The Last Mile (Amos Decker #2) Unknown Mystery Mystery,
That Darkness (Gardiner and Renner #1),Unknown,Mystery,Mystery,,,,,,WebScraping,That Darkness (Gardiner and Renner #1) Unknown Mystery Mystery,
Tastes Like Fear (DI Marnie Rome #3),Unknown,Mystery,Mystery,,,,,,WebScraping,Tastes Like Fear (DI Marnie Rome #3) Unknown Mystery Mystery,
A Time of Torment (Charlie Parker #14),Unknown,Mystery,Mystery,,,,,,WebScraping,A Time of Torment (Charlie Parker #14) Unknown Mystery Mystery,
A Study in Scarlet (Sherlock Holmes #1),Unknown,Mystery,Mystery,,,,,,WebScraping,A Study in Scarlet (Sherlock Holmes #1) Unknown Mystery Mystery,
Poisonous (Max Revere Novels #3),Unknown,Mystery,Mystery,,,,,,WebScraping,Poisonous (Max Revere Novels #3) Unknown Mystery Mystery,
Murder at the 42nd Street Library (Raymond Ambler #1),Unknown,Mystery,Mystery,,,,,,WebScraping,Murder at the 42nd Street Library (Raymond Ambler #1) Unknown Mystery Mystery,
Most Wanted,Unknown,Mystery,Mystery,,,,,,WebScraping,Most Wanted Unknown Mystery Mystery,
Hide Away (Eve Duncan #20),Unknown,Mystery,Mystery,,,,,,WebScraping,Hide Away (Eve Duncan #20) Unknown Mystery Mystery,
Boar Island (Anna Pigeon #19),Unknown,Mystery,Mystery,,,,,,WebScraping,Boar Island (Anna Pigeon #19) Unknown Mystery Mystery,
The Widow,Unknown,Mystery,Mystery,,,,,,WebScraping,The Widow Unknown Mystery Mystery,
Playing with Fire,Unknown,Mystery,Mystery,,,,,,WebScraping,Playing with Fire Unknown Mystery Mystery,
What Happened on Beale Street (Secrets of the South Mysteries #2),Unknown,Mystery,Mystery,,,,,,WebScraping,What Happened on Beale Street (Secrets of the South Mysteries #2) Unknown Mystery Mystery,
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Unknown,Mystery,Mystery,,,,,,WebScraping,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1) Unknown Mystery Mystery,
Delivering the Truth (Quaker Midwife Mystery #1),Unknown,Mystery,Mystery,,,,,,WebScraping,Delivering the Truth (Quaker Midwife Mystery #1) Unknown Mystery Mystery,
The Mysterious Affair at Styles (Hercule Poirot #1),Unknown,Mystery,Mystery,,,,,,WebScraping,The Mysterious Affair at Styles (Hercule Poirot #1) Unknown Mystery Mystery,
In the Woods (Dublin Murder Squad #1),Unknown,Mystery,Mystery,,,,,,WebScraping,In the Woods (Dublin Murder Squad #1) Unknown Mystery Mystery,
The Silkworm (Cormoran Strike #2),Unknown,Mystery,Mystery,,,,,,WebScraping,The Silkworm (Cormoran Strike #2) Unknown Mystery Mystery,
The Exiled,Unknown,Mystery,Mystery,,,,,,WebScraping,The Exiled Unknown Mystery Mystery,
The Cuckoo's Calling (Cormoran Strike #1),Unknown,Mystery,Mystery,,,,,,WebScraping,The Cuckoo's Calling (Cormoran Strike #1) Unknown Mystery Mystery,
Extreme Prey (Lucas Davenport #26),Unknown,Mystery,Mystery,,,,,,WebScraping,Extreme Prey (Lucas Davenport #26) Unknown Mystery Mystery,
Career of Evil (Cormoran Strike #3),Unknown,Mystery,Mystery,,,,,,WebScraping,Career of Evil (Cormoran Strike #3) Unknown Mystery Mystery,
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Unknown,Mystery,Mystery,,,,,,WebScraping,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1) Unknown Mystery Mystery,
The Girl You Lost,Unknown,Mystery,Mystery,,,,,,WebScraping,The Girl You Lost Unknown Mystery Mystery,
The Girl In The Ice (DCI Erika Foster #1),Unknown,Mystery,Mystery,,,,,,WebScraping,The Girl In The Ice (DCI Erika Foster #1) Unknown Mystery Mystery,
Blood Defense (Samantha Brinkman #1),Unknown,Mystery,Mystery,,,,,,WebScraping,Blood Defense (Samantha Brinkman #1) Unknown Mystery Mystery,
1st to Die (Women's Murder Club #1),Unknown,Mystery,Mystery,,,,,,WebScraping,1st to Die (Women's Murder Club #1) Unknown Mystery Mystery,
Tipping the Velvet,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,Tipping the Velvet Unknown Historical Fiction Historical Fiction,
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton Unknown Historical Fiction Historical Fiction,
A Flight of Arrows (The Pathfinders #2),Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,A Flight of Arrows (The Pathfinders #2) Unknown Historical Fiction Historical Fiction,
The House by the Lake,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,The House by the Lake Unknown Historical Fiction Historical Fiction,
Mrs. Houdini,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,Mrs. Houdini Unknown Historical Fiction Historical Fiction,
The Marriage of Opposites,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,The Marriage of Opposites Unknown Historical Fiction Historical Fiction,
Glory over Everything: Beyond The Kitchen House,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,Glory over Everything: Beyond The Kitchen House Unknown Historical Fiction Historical Fiction,
"Love, Lies and Spies",Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,"Love, Lies and Spies Unknown Historical Fiction Historical Fiction",
A Paris Apartment,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,A Paris Apartment Unknown Historical Fiction Historical Fiction,
Lilac Girls,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,Lilac Girls Unknown Historical Fiction Historical Fiction,
The Constant Princess (The Tudor Court #1),Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,The Constant Princess (The Tudor Court #1) Unknown Historical Fiction Historical Fiction,
The Invention of Wings,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,The Invention of Wings Unknown Historical Fiction Historical Fiction,
World Without End (The Pillars of the Earth #2),Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,World Without End (The Pillars of the Earth #2) Unknown Historical Fiction Historical Fiction,
The Passion of Dolssa,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,The Passion of Dolssa Unknown Historical Fiction Historical Fiction,
Girl With a Pearl Earring,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,Girl With a Pearl Earring Unknown Historical Fiction Historical Fiction,
Voyager (Outlander #3),Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,Voyager (Outlander #3) Unknown Historical Fiction Historical Fiction,
The Red Tent,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,The Red Tent Unknown Historical Fiction Historical Fiction,
The Last Painting of Sara de Vos,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,The Last Painting of Sara de Vos Unknown Historical Fiction Historical Fiction,
The Guernsey Literary and Potato Peel Pie Society,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,The Guernsey Literary and Potato Peel Pie Society Unknown Historical Fiction Historical Fiction,
Girl in the Blue Coat,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,Girl in the Blue Coat Unknown Historical Fiction Historical Fiction,
Between Shades of Gray,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,Between Shades of Gray Unknown Historical Fiction Historical Fiction,
While You Were Mine,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,While You Were Mine Unknown Historical Fiction Historical Fiction,
The Secret Healer,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,The Secret Healer Unknown Historical Fiction Historical Fiction,
Starlark,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,Starlark Unknown Historical Fiction Historical Fiction,
Lost Among the Living,Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,Lost Among the Living Unknown Historical Fiction Historical Fiction,
A Spy's Devotion (The Regency Spies of London #1),Unknown,Historical Fiction,Historical Fiction,,,,,,WebScraping,A Spy's Devotion (The Regency Spies of London #1) Unknown Historical Fiction Historical Fiction,
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1) Unknown Sequential Art Sequential Art,
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2) Unknown Sequential Art Sequential Art,
This One Summer,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,This One Summer Unknown Sequential Art Sequential Art,
The Nameless City (The Nameless City #1),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,The Nameless City (The Nameless City #1) Unknown Sequential Art Sequential Art,
"Saga, Volume 5 (Saga (Collected Editions) #5)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Saga, Volume 5 (Saga (Collected Editions) #5) Unknown Sequential Art Sequential Art",
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15) Unknown Sequential Art Sequential Art",
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1) Unknown Sequential Art Sequential Art",
"Pop Gun War, Volume 1: Gift",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Pop Gun War, Volume 1: Gift Unknown Sequential Art Sequential Art",
Patience,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Patience Unknown Sequential Art Sequential Art,
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1) Unknown Sequential Art Sequential Art",
orange: The Complete Collection 1 (orange: The Complete Collection #1),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,orange: The Complete Collection 1 (orange: The Complete Collection #1) Unknown Sequential Art Sequential Art,
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8) Unknown Sequential Art Sequential Art",
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4) Unknown Sequential Art Sequential Art",
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12) Unknown Sequential Art Sequential Art,
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5) Unknown Sequential Art Sequential Art",
I am a Hero Omnibus Volume 1,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,I am a Hero Omnibus Volume 1 Unknown Sequential Art Sequential Art,
"Giant Days, Vol. 2 (Giant Days #5-8)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Giant Days, Vol. 2 (Giant Days #5-8) Unknown Sequential Art Sequential Art",
Danganronpa Volume 1,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Danganronpa Volume 1 Unknown Sequential Art Sequential Art,
"Codename Baboushka, Volume 1: The Conclave of Death",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Codename Baboushka, Volume 1: The Conclave of Death Unknown Sequential Art Sequential Art",
Camp Midnight,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Camp Midnight Unknown Sequential Art Sequential Art,
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions)) Unknown Sequential Art Sequential Art",
The Shadow Hero (The Shadow Hero),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,The Shadow Hero (The Shadow Hero) Unknown Sequential Art Sequential Art,
"Fables, Vol. 1: Legends in Exile (Fables #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Fables, Vol. 1: Legends in Exile (Fables #1) Unknown Sequential Art Sequential Art",
Batman: The Long Halloween (Batman),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Batman: The Long Halloween (Batman) Unknown Sequential Art Sequential Art,
Batman: The Dark Knight Returns (Batman),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Batman: The Dark Knight Returns (Batman) Unknown Sequential Art Sequential Art,
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1) Unknown Sequential Art Sequential Art",
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1) Unknown Sequential Art Sequential Art",
Through the Woods,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Through the Woods Unknown Sequential Art Sequential Art,
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1) Unknown Sequential Art Sequential Art,
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6) Unknown Sequential Art Sequential Art",
Robin War,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Robin War Unknown Sequential Art Sequential Art,
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1) Unknown Sequential Art Sequential Art",
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14) Unknown Sequential Art Sequential Art",
Lowriders to the Center of the Earth (Lowriders in Space #2),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Lowriders to the Center of the Earth (Lowriders in Space #2) Unknown Sequential Art Sequential Art,
El Deafo,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,El Deafo Unknown Sequential Art Sequential Art,
Batman: Europa,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Batman: Europa Unknown Sequential Art Sequential Art,
Art Ops Vol. 1,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Art Ops Vol. 1 Unknown Sequential Art Sequential Art,
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection Unknown Sequential Art Sequential Art",
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Fruits Basket, Vol. 9 (Fruits Basket #9) Unknown Sequential Art Sequential Art",
Roller Girl,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Roller Girl Unknown Sequential Art Sequential Art,
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Fruits Basket, Vol. 7 (Fruits Basket #7) Unknown Sequential Art Sequential Art",
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Fruits Basket, Vol. 6 (Fruits Basket #6) Unknown Sequential Art Sequential Art",
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Death Note, Vol. 6: Give-and-Take (Death Note #6) Unknown Sequential Art Sequential Art",
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Fruits Basket, Vol. 5 (Fruits Basket #5) Unknown Sequential Art Sequential Art",
"Death Note, Vol. 5: Whiteout (Death Note #5)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Death Note, Vol. 5: Whiteout (Death Note #5) Unknown Sequential Art Sequential Art",
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4) Unknown Sequential Art Sequential Art",
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Fruits Basket, Vol. 4 (Fruits Basket #4) Unknown Sequential Art Sequential Art",
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine) Unknown Sequential Art Sequential Art",
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3) Unknown Sequential Art Sequential Art",
"Saga, Volume 3 (Saga (Collected Editions) #3)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Saga, Volume 3 (Saga (Collected Editions) #3) Unknown Sequential Art Sequential Art",
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2) Unknown Sequential Art Sequential Art,
Persepolis: The Story of a Childhood (Persepolis #1-2),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Persepolis: The Story of a Childhood (Persepolis #1-2) Unknown Sequential Art Sequential Art,
Original Fake,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Original Fake Unknown Sequential Art Sequential Art,
"Grayson, Vol 3: Nemesis (Grayson #3)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Grayson, Vol 3: Nemesis (Grayson #3) Unknown Sequential Art Sequential Art",
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Fruits Basket, Vol. 3 (Fruits Basket #3) Unknown Sequential Art Sequential Art",
"Black Butler, Vol. 1 (Black Butler #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Black Butler, Vol. 1 (Black Butler #1) Unknown Sequential Art Sequential Art",
Awkward,Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,Awkward Unknown Sequential Art Sequential Art,
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2) Unknown Sequential Art Sequential Art",
"Saga, Volume 2 (Saga (Collected Editions) #2)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Saga, Volume 2 (Saga (Collected Editions) #2) Unknown Sequential Art Sequential Art",
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Fruits Basket, Vol. 2 (Fruits Basket #2) Unknown Sequential Art Sequential Art",
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1) Unknown Sequential Art Sequential Art",
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine) Unknown Sequential Art Sequential Art",
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1) Unknown Sequential Art Sequential Art",
The Complete Maus (Maus #1-2),Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,The Complete Maus (Maus #1-2) Unknown Sequential Art Sequential Art,
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Skip Beat!, Vol. 01 (Skip Beat! #1) Unknown Sequential Art Sequential Art",
"Saga, Volume 1 (Saga (Collected Editions) #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Saga, Volume 1 (Saga (Collected Editions) #1) Unknown Sequential Art Sequential Art",
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5) Unknown Sequential Art Sequential Art",
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Paper Girls, Vol. 1 (Paper Girls #1-5) Unknown Sequential Art Sequential Art",
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1) Unknown Sequential Art Sequential Art",
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1) Unknown Sequential Art Sequential Art",
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1) Unknown Sequential Art Sequential Art",
"Giant Days, Vol. 1 (Giant Days #1-4)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Giant Days, Vol. 1 (Giant Days #1-4) Unknown Sequential Art Sequential Art",
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Fruits Basket, Vol. 1 (Fruits Basket #1) Unknown Sequential Art Sequential Art",
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1) Unknown Sequential Art Sequential Art",
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Unknown,Sequential Art,Sequential Art,,,,,,WebScraping,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1) Unknown Sequential Art Sequential Art",
The Secret Garden,Unknown,Classics,Classics,,,,,,WebScraping,The Secret Garden Unknown Classics Classics,
The Metamorphosis,Unknown,Classics,Classics,,,,,,WebScraping,The Metamorphosis Unknown Classics Classics,
The Pilgrim's Progress,Unknown,Classics,Classics,,,,,,WebScraping,The Pilgrim's Progress Unknown Classics Classics,
The Hound of the Baskervilles (Sherlock Holmes #5),Unknown,Classics,Classics,,,,,,WebScraping,The Hound of the Baskervilles (Sherlock Holmes #5) Unknown Classics Classics,
Little Women (Little Women #1),Unknown,Classics,Classics,,,,,,WebScraping,Little Women (Little Women #1) Unknown Classics Classics,
Gone with the Wind,Unknown,Classics,Classics,,,,,,WebScraping,Gone with the Wind Unknown Classics Classics,
Candide,Unknown,Classics,Classics,,,,,,WebScraping,Candide Unknown Classics Classics,
Animal Farm,Unknown,Classics,Classics,,,,,,WebScraping,Animal Farm Unknown Classics Classics,
Wuthering Heights,Unknown,Classics,Classics,,,,,,WebScraping,Wuthering Heights Unknown Classics Classics,
The Picture of Dorian Gray,Unknown,Classics,Classics,,,,,,WebScraping,The Picture of Dorian Gray Unknown Classics Classics,
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Unknown,Classics,Classics,,,,,,WebScraping,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]) Unknown Classics Classics,
Beowulf,Unknown,Classics,Classics,,,,,,WebScraping,Beowulf Unknown Classics Classics,
And Then There Were None,Unknown,Classics,Classics,,,,,,WebScraping,And Then There Were None Unknown Classics Classics,
The Story of Hong Gildong,Unknown,Classics,Classics,,,,,,WebScraping,The Story of Hong Gildong Unknown Classics Classics,
The Little Prince,Unknown,Classics,Classics,,,,,,WebScraping,The Little Prince Unknown Classics Classics,
Sense and Sensibility,Unknown,Classics,Classics,,,,,,WebScraping,Sense and Sensibility Unknown Classics Classics,
Of Mice and Men,Unknown,Classics,Classics,,,,,,WebScraping,Of Mice and Men Unknown Classics Classics,
